ID,Party Type,Party Name,Contract Terms,Candidate,Start Date,End Date,Signed,Unit Price,Unit Price Currency
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00021,2025-01-15,2026-06-30,1,6259890,JPY
,Customer,Transcendent Thinkers,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00022,2025-02-01,2025-12-15,1,5880851,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00023,2024-11-01,2026-08-31,1,7217230,JPY
,Customer,Zenwaves KK,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00024,2025-03-01,2025-12-22,1,5502025,JPY
,Customer,ANS,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00025,2024-12-01,2026-09-30,1,8233622,JPY
,Customer,Transcendent Thinkers,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00026,2025-04-01,2025-12-28,1,6151271,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00027,2025-01-10,2026-07-31,1,6191196,JPY
,Customer,Palmer Productions Ltd.,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00028,2024-10-01,2026-10-31,1,5035999,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00029,2025-02-15,2026-06-30,1,7245939,JPY
,Customer,Zenwaves KK,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00030,2025-05-01,2025-12-31,1,5743625,JPY
,Customer,ANS,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00031,2024-08-01,2026-05-31,1,4721336,JPY
,Customer,Transcendent Thinkers,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00032,2025-06-01,2026-12-31,1,5003011,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00033,2025-01-20,2026-01-10,1,7645013,JPY
,Customer,Zenwaves KK,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00034,2024-09-01,2026-11-30,1,5019714,JPY
,Customer,Broad Appeal KK,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00035,2025-03-15,2026-01-20,1,4896591,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00036,2024-11-15,2026-08-31,1,7365429,JPY
,Customer,ANS,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00037,2025-02-10,2026-01-28,1,6834909,JPY
,Customer,Transcendent Thinkers,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00038,2024-12-15,2026-07-31,1,8044376,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00039,2025-04-01,2026-09-30,1,8212700,JPY
,Customer,Zenwaves KK,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00040,2025-01-05,2026-01-31,1,8047228,JPY
,Customer,Palmer Productions Ltd.,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00041,2024-10-10,2026-02-15,1,4807623,JPY
,Customer,Broad Appeal KK,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00042,2025-03-20,2026-02-28,1,5301029,JPY
,Customer,ANS,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00043,2024-11-20,2026-03-15,1,5110183,JPY
,Customer,Transcendent Thinkers,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00044,2025-05-10,2026-03-31,1,7507104,JPY
,Customer,West View Software Ltd.,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00045,2024-08-15,2026-04-15,1,4597187,JPY
,Customer,Kanumatsu Japan,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00046,2024-09-01,2025-11-15,1,6473929,JPY
,Customer,Palmer Productions Ltd.,"<div class=""ql-editor read-mode""><p>Temporary Staffing / Dispatch (派遣 - Haken)</p></div>",HR-EMP-00047,2024-07-01,2025-11-20,1,4267971,JPY
,Customer,Grant Plastics Ltd.,"<div class=""ql-editor read-mode""><p>Secondment (出向 - Shukkou)</p></div>",HR-EMP-00048,2024-06-15,2025-11-25,1,5533343,JPY
